file,h2,h3,v2,v3
generated_level.txt,0.07477286309725552,0.17904197835898464,0.02185315511100636,0.17108722353792996
generated_level_0.txt,0.01858637258025774,0.08279195914592409,0.027259664568246057,0.09725235624890369
generated_level_1.txt,0.06894840131803916,0.1679764549658424,0.015395719163036739,0.14441849795657402
generated_level_2.txt,0.1326122528279193,0.2645418725736125,0.055432554070404386,0.24031818246917375
generated_level_3.txt,0.06139698068259807,0.18137147657501385,0.02555603301084884,0.16791308536793792
generated_level_4.txt,0.12487158025315104,0.2993412751170092,0.03570703284721517,0.27109468360223554
generated_level_5.txt,0.09687745495896849,0.3898797715336728,0.07368937902100692,0.245581087471826
generated_level_6.txt,0.1354922112078906,0.30276504646432006,0.03453700143104977,0.1936771031331074
generated_level_7.txt,0.12527926938650102,0.24408433603603552,0.032788943906245024,0.18075970813836623
generated_level_8.txt,0.12625748252521196,0.25740713968089873,0.050944680249336086,0.2050521596590435
generated_level_9.txt,0.044295748324460135,0.19447256072686667,0.018091994657790707,0.11752839738047223
MEAN,0.09176278337838664,0.2330612610161982,0.03556874163965328,0.18497113499687004
STD,0.04044215043671552,0.0833335836733227,0.017784218692782353,0.05387231998331693
